,Показатель,Значение,Единица
0,Первое обнаружение выделений,5.56389e-06,ч
1,Максимальная объёмная доля,6.59958,%
2,Итоговая объёмная доля,6.59958,%
3,Итоговый средний радиус,1.54726,нм
4,Итоговая плотность частиц,3.56895e+24,1/м³
5,Пик скорости зарождения,5.83606e+26,1/(м³·с)
6,Растворение после максимума,нет,—
7,Укрупнение на плато,да,—
