"Температура, °C","Доля расплава, %","C, ат.%","C, мас.%","CR, ат.%","CR, мас.%","FE, ат.%","FE, мас.%"
1500.0,100.0,,,,,,
1500.0,100.0,1.813246619536533,0.3999999998646457,15.707149449559891,14.99999999046701,82.4796039309036,84.60000000966834
1490.0,100.0,1.8132466189421932,0.3999999997288418,15.707149439736462,14.999999980909848,82.47960394132134,84.6000000193613
1480.0,99.52842309140468,1.8203914391381735,0.4016006349058333,15.712060607049189,15.005605343640905,82.46754795381263,84.59279402145326
1470.0,75.33187816626877,2.2850797604877906,0.5061178963641269,16.012906190371826,15.353636630752682,81.70201404914039,84.1402454728832
1460.0,60.1774089030498,2.750104246899087,0.6115407797332949,16.30464867166261,15.695620128693982,80.94524708143831,83.69283909157272
1450.0,49.862582654791034,3.2155780936837157,0.7179075634788151,16.592497846046747,16.036589247003718,80.19192406026954,83.24550318951746
1440.0,42.42271969427905,3.6816070246332337,0.8252562016857768,16.879644670706238,16.37968083039696,79.43874830466052,82.79506296791726
1430.0,36.82226797809122,4.148254321277477,0.9336160019379727,17.16815102514455,16.726967215107354,78.68359465357798,82.33941678295467
1420.0,32.4661230340755,4.615517902366987,1.0430017950952652,17.459382775156204,17.079858587110884,77.92509932247681,81.87713961779384
1410.0,28.989162767756604,5.08331217067476,1.1534089815437172,17.75423662810476,17.439310892260696,77.16245120122048,81.40728012619559
1400.0,23.854879196348943,5.686156704465331,1.2974643057125061,18.593336730035755,18.36642786074351,75.72050656549891,80.33610783354398
1390.0,20.024702992461073,6.2996388275144675,1.445717349195953,19.42812121691748,19.301422362799116,74.27223995556805,79.25286028800494
1380.0,17.100978521248532,6.920553996190787,1.5974964317227083,20.258486827293574,20.2440222862889,72.82095917651564,78.15848128198839
1370.0,14.822808725391079,7.546178448688885,1.7522177965050056,21.08425961823091,21.193863810741895,71.3695619330802,77.05391839275309
1360.0,13.018045593295602,8.172906005219666,1.9090471805939306,21.903494418790004,22.14850066221731,69.92359957599034,75.94245215718877
1350.0,11.569302075016685,8.79624058016404,2.066882798484799,22.712587010166693,23.10341206466192,68.49117240966928,74.82970513685328
1340.0,10.393992150588716,9.411000231553531,2.224392633575921,23.506616809582226,24.052297113261442,67.08238295886424,73.72331025316264
1330.0,9.432206281857614,10.01174020179104,2.3801131627865453,24.279945524832936,24.987713096922967,65.70831427337602,72.63217374029048
1320.0,8.639193454349414,10.593314850557215,2.532593685299037,25.02698378884618,25.901977374454642,64.37970136059661,71.56542894024632
1310.0,7.980662783635006,11.151425603787555,2.6805485140305643,25.742940504814914,26.788117886620967,63.10563389139753,70.53133359934847
1300.0,7.429834199600527,11.682999252945605,2.82297408303311,26.42435941180934,27.640619849959126,61.89264133524506,69.53640606700776
1290.0,6.965551977176288,12.18631573116762,2.959204276759824,27.069336870178645,28.455806891136632,60.74434739865373,68.58498883210355
1287.6743196063862,6.868825632208154,12.299246838109527,2.9899567084430014,27.21404723014415,28.63982005097278,60.48670593174633,68.37022324058421
1285.736252611708,0.0,,,,,,
