"Температура, °C","Доля расплава, %","C, ат.%","C, мас.%","CR, ат.%","CR, мас.%","FE, ат.%","FE, мас.%"
1500.0,100.0,1.813246619536533,0.3999999998646457,15.707149449559891,14.99999999046701,82.4796039309036,84.60000000966834
1490.0,100.0,1.8132466195342478,0.3999999998641272,15.70714944953496,14.999999990442662,82.47960393093081,84.6000000096932
1480.0,99.52842324116999,1.8203914380470452,0.40160063466671847,15.712060625106696,15.005605360946332,82.46754793684626,84.59279400438695
1470.0,75.31429248596615,2.2850968307927144,0.5061216478096652,16.012630015065838,15.353370933332958,81.70227315414145,84.14050741885738
1460.0,59.45404109348007,2.7506947126152737,0.6116708701554385,16.29514946355713,15.686444676905623,80.9541558238276,83.70188445293894
1450.0,48.335693464297776,3.2166750971479243,0.7181497245976148,16.574651294207072,16.019279163950152,80.208673608645,83.26257111145223
1440.0,40.15857260968725,3.6828703866029375,0.8255353816866777,16.858503727466353,16.359086588148685,79.45862588593072,82.81537803016464
1430.0,33.92732142828029,4.149249199028785,0.9338357972648802,17.150720820170687,16.70991130876179,78.70002998080054,82.35625289397332
1420.0,29.048013663498352,4.615825004186169,1.0430694962784428,17.45364177922922,17.0742146106955,77.93053321658462,81.88271589302606
1410.0,25.144772492206656,5.082603802674171,1.1532535933633845,17.768666328626818,17.453565473825005,77.14872986869901,81.39318093281162
1400.0,11.758555369118028,5.508877350686665,1.2555859734708574,19.05802267459123,18.8040743408692,75.43309997472211,79.94033968565995
1390.0,1.5070868784298863,5.950355598985317,1.3624748997463794,20.327047367824413,20.14886825302852,73.72259703319027,78.4886568472251
1388.203125,-1.0591527654923993e-10,,,,,,
