"Температура, °C","Температура, K","Доля расплава, %","Доля твёрдого, %","BCC_A2, %","FCC_A1, %"
1500.0,1773.15,100.0,0.0,0.0,0.0
1490.0,1763.15,100.0,0.0,0.0,0.0
1480.0,1753.15,99.52842324116999,0.4715767588300165,0.4715767588300165,0.0
1470.0,1743.15,75.31429248596615,24.685707514033854,24.685707514033854,0.0
1460.0,1733.15,59.45404109348007,40.54595890651992,40.54595890651992,0.0
1450.0,1723.15,48.335693464297776,51.664306535702224,51.664306535702224,0.0
1440.0,1713.15,40.15857260968725,59.84142739031275,59.84142739031275,0.0
1430.0,1703.15,33.92732142828029,66.0726785717197,66.0726785717197,0.0
1420.0,1693.15,29.048013663498352,70.95198633650165,70.95198633650165,0.0
1410.0,1683.15,25.144772492206656,74.85522750779334,74.85522750779334,0.0
1400.0,1673.15,11.758555369118028,88.24144463088197,53.56185240125498,34.67959222962699
1390.0,1663.15,1.5070868784298863,98.49291312157011,36.9230081858922,61.56990493567791
1388.203125,1661.353125,-1.0591527654923993e-10,100.00000000010591,34.41558051902635,65.58441948107956
