"Температура, °C","Температура, K","Доля расплава, %","Доля твёрдого, %","BCC_A2, %","FCC_A1, %","M7C3, %"
1500.0,1773.15,100.0,0.0,0.0,0.0,0.0
1500.0,1773.15,100.0,0.0,0.0,0.0,0.0
1490.0,1763.15,100.0,0.0,0.0,0.0,0.0
1480.0,1753.15,99.52842309140468,0.4715769085953224,0.4715769085953224,0.0,0.0
1470.0,1743.15,75.33187816626877,24.668121833731238,24.668121833731238,0.0,0.0
1460.0,1733.15,60.1774089030498,39.8225910969502,39.8225910969502,0.0,0.0
1450.0,1723.15,49.862582654791034,50.137417345208966,50.137417345208966,0.0,0.0
1440.0,1713.15,42.42271969427905,57.57728030572095,57.57728030572095,0.0,0.0
1430.0,1703.15,36.82226797809122,63.17773202190878,63.17773202190878,0.0,0.0
1420.0,1693.15,32.4661230340755,67.5338769659245,67.5338769659245,0.0,0.0
1410.0,1683.15,28.989162767756604,71.01083723224339,71.01083723224339,0.0,0.0
1400.0,1673.15,23.854879196348943,76.14512080365105,71.01083723224339,5.134283571407662,0.0
1390.0,1663.15,20.024702992461073,79.97529700753893,71.01083723224339,8.964459775295525,0.0
1380.0,1653.15,17.100978521248532,82.89902147875146,71.01083723224339,11.888184246508063,0.0
1370.0,1643.15,14.822808725391079,85.17719127460892,71.01083723224339,14.166354042365517,0.0
1360.0,1633.15,13.018045593295602,86.9819544067044,71.01083723224339,15.971117174460991,0.0
1350.0,1623.15,11.569302075016685,88.43069792498332,71.01083723224339,17.419860692739906,0.0
1340.0,1613.15,10.393992150588716,89.60600784941128,71.01083723224339,18.59517061716788,0.0
1330.0,1603.15,9.432206281857614,90.56779371814238,71.01083723224339,19.55695648589898,0.0
1320.0,1593.15,8.639193454349414,91.36080654565059,71.01083723224339,20.34996931340718,0.0
1310.0,1583.15,7.980662783635006,92.01933721636499,71.01083723224339,21.00849998412159,0.0
1300.0,1573.15,7.429834199600527,92.57016580039948,71.01083723224339,21.559328568156065,0.0
1290.0,1563.15,6.965551977176288,93.03444802282371,71.01083723224339,22.023610790580307,0.0
1287.6743196063862,1560.8243196063863,6.868825632208154,93.13117436779184,71.01083723224339,22.120337135548446,0.0
1285.736252611708,1558.8862526117082,0.0,100.0,71.01083723224339,26.825151994819635,2.164010772560403
