Temperature (°C),Temperature (K),NP(LIQUID),NP(BCC_A2),NP(FCC_A1),NP(M7C3),"X(BCC_A2,C)","X(BCC_A2,CR)","X(BCC_A2,FE)","X(FCC_A1,C)","X(FCC_A1,CR)","X(FCC_A1,FE)","X(LIQUID,C)","X(LIQUID,CR)","X(LIQUID,FE)","X(M7C3,C)","X(M7C3,CR)","X(M7C3,FE)"
1500.0,1773.15,1.0,0.0,0.0,0.0,,,,,,,,,,,,
1500.0,1773.15,1.0,0.0,0.0,0.0,,,,,,,0.01813246619536533,0.1570714944955989,0.8247960393090359,,,
1490.0,1763.15,1.0,0.0,0.0,0.0,,,,,,,0.018132466189421933,0.15707149439736462,0.8247960394132134,,,
1480.0,1753.15,0.9952842309140468,0.0047157690859532244,0.0,0.0,0.003053002492056274,0.14670625536126047,0.8502407421466832,,,,0.018203914391381738,0.1571206060704919,0.8246754795381265,,,
1470.0,1743.15,0.7533187816626876,0.24668121833731238,0.0,0.0,0.0037366240744670983,0.14775428418435596,0.848509091741177,,,,0.022850797604877907,0.16012906190371826,0.8170201404914039,,,
1460.0,1733.15,0.601774089030498,0.398225910969502,0.0,0.0,0.004384978589142949,0.14854415827789785,0.8470708631329593,,,,0.027501042468990863,0.16304648671662605,0.809452470814383,,,
1450.0,1723.15,0.4986258265479103,0.5013741734520897,0.0,0.0,0.0049997151553810015,0.14913165877406614,0.845868626070553,,,,0.03215578093683716,0.16592497846046747,0.8019192406026954,,,
1440.0,1713.15,0.42422719694279054,0.5757728030572095,0.0,0.0,0.005582422245159398,0.14955162680330403,0.8448659509515364,,,,0.036816070246332336,0.16879644670706237,0.7943874830466052,,,
1430.0,1703.15,0.36822267978091217,0.6317773202190878,0.0,0.0,0.006134595467097237,0.1498275155656952,0.8440378889672076,,,,0.041482543212774774,0.17168151025144548,0.7868359465357798,,,
1420.0,1693.15,0.324661230340755,0.675338769659245,0.0,0.0,0.006657630113007779,0.14997615850457452,0.8433662113824177,,,,0.04615517902366987,0.17459382775156204,0.7792509932247681,,,
1410.0,1683.15,0.28989162767756604,0.710108372322434,0.0,0.0,0.007152823094073902,0.15001038220930651,0.8428367946966197,,,,0.0508331217067476,0.1775423662810476,0.7716245120122048,,,
1400.0,1673.15,0.23854879196348944,0.710108372322434,0.051342835714076614,0.0,,,,0.022823793184167586,0.1385561449570275,0.838620061858805,0.056861567044653324,0.1859333673003576,0.7572050656549892,,,
1390.0,1663.15,0.20024702992461074,0.710108372322434,0.08964459775295526,0.0,,,,0.024787853848955342,0.1422896534796631,0.8329224926713814,0.06299638827514467,0.1942812121691748,0.7427223995556805,,,
1380.0,1653.15,0.17100978521248533,0.710108372322434,0.11888184246508063,0.0,,,,0.02667881776529474,0.14571280359242103,0.8276083786422842,0.06920553996190787,0.20258486827293573,0.7282095917651564,,,
1370.0,1643.15,0.1482280872539108,0.710108372322434,0.14166354042365517,0.0,,,,0.02849956795457844,0.1488563351599957,0.822644096885426,0.07546178448688885,0.21084259618230908,0.7136956193308021,,,
1360.0,1633.15,0.13018045593295602,0.710108372322434,0.15971117174460991,0.0,,,,0.030254921817439547,0.15174987760473438,0.8179952005778262,0.08172906005219666,0.21903494418790004,0.6992359957599034,,,
1350.0,1623.15,0.11569302075016685,0.710108372322434,0.17419860692739905,0.0,,,,0.03195112559332793,0.1544228408270491,0.8136260335796229,0.0879624058016404,0.22712587010166693,0.6849117240966928,,,
1340.0,1613.15,0.10393992150588716,0.710108372322434,0.1859517061716788,0.0,,,,0.033595409843974786,0.15690490683979258,0.8094996833162326,0.09411000231553535,0.23506616809582231,0.6708238295886425,,,
1330.0,1603.15,0.09432206281857614,0.710108372322434,0.1955695648589898,0.0,,,,0.03519560664947716,0.1592260439699265,0.8055783493805965,0.1001174020179104,0.24279945524832935,0.6570831427337602,,,
1320.0,1593.15,0.08639193454349414,0.710108372322434,0.2034996931340718,0.0,,,,0.036759840514355054,0.16141605441038473,0.8018241050752603,0.10593314850557216,0.2502698378884618,0.6437970136059661,,,
1310.0,1583.15,0.07980662783635006,0.710108372322434,0.2100849998412159,0.0,,,,0.03829630309599204,0.1635038090354811,0.7981998878685268,0.11151425603787557,0.2574294050481492,0.6310563389139754,,,
1300.0,1573.15,0.07429834199600527,0.710108372322434,0.21559328568156066,0.0,,,,0.03981310993911858,0.16551642801804858,0.7946704620428328,0.11682999252945604,0.2642435941180934,0.6189264133524506,,,
1290.0,1563.15,0.06965551977176287,0.710108372322434,0.22023610790580306,0.0,,,,0.04131822575424284,0.1674786569085904,0.7912031173371669,0.1218631573116762,0.27069336870178645,0.6074434739865373,,,
1287.6743196063862,1560.8243196063863,0.06868825632208153,0.710108372322434,0.22120337135548446,0.0,,,,0.04166741727154463,0.16793023529069945,0.790402347437756,0.12299246838109526,0.27214047230144145,0.6048670593174632,,,
1285.736252611708,1558.8862526117082,0.0,0.710108372322434,0.26825151994819635,0.02164010772560403,,,,0.041576681195269166,0.16773910279175475,0.7906842160129761,,,,0.30000000000000004,0.49912137309855975,0.20087862690144026
