Метод,"Расчётный ликвидус, °C","T при доле твёрдого 0.01 % по траектории, °C","Температура окончания, °C",Что означает окончание,"Интервал кристаллизации, °C","Остаточный расплав в точке окончания, %",Точек расчёта,Расчёт завершён
Равновесное,1480.1171875,1489.7879454444533,1388.203125,равновесный солидус,91.9140625,-1.0591527654923993e-10,13,да
Scheil–Gulliver,1480.1171875,1489.7879455117982,1285.736252611708,достигнут критерий остаточного расплава,194.3809348882919,0.0,25,нет
