Temperature (°C),Temperature (K),NP(LIQUID),NP(BCC_A2),NP(FCC_A1),"X(BCC_A2,C)","X(BCC_A2,CR)","X(BCC_A2,FE)","X(FCC_A1,C)","X(FCC_A1,CR)","X(FCC_A1,FE)","X(LIQUID,C)","X(LIQUID,CR)","X(LIQUID,FE)"
1500.0,1773.15,1.0,0.0,0.0,,,,,,,0.01813246619536533,0.1570714944955989,0.8247960393090359
1490.0,1763.15,1.0,0.0,0.0,,,,,,,0.018132466195342478,0.1570714944953496,0.824796039309308
1480.0,1753.15,0.9952842324116998,0.004715767588300165,0.0,0.003053002489841672,0.14670625554439953,0.8502407419657588,,,,0.018203914380470455,0.157120606251067,0.8246754793684627
1470.0,1743.15,0.7531429248596615,0.24685707514033853,0.0,0.00373666054835852,0.1477515057256787,0.8485118337259628,,,,0.022850968307927145,0.16012630015065837,0.8170227315414145
1460.0,1733.15,0.5945404109348007,0.40545958906519924,0.0,0.0043863176536057405,0.14844943277646683,0.8471642495699275,,,,0.027506947126152734,0.1629514946355713,0.8095415582382759
1450.0,1723.15,0.4833569346429778,0.5166430653570222,0.0,0.005002378290979966,0.14895538783045356,0.8460422338785666,,,,0.032166750971479245,0.16574651294207074,0.80208673608645
1440.0,1713.15,0.4015857260968725,0.5984142739031275,0.0,0.005585736443183294,0.14934495029262448,0.8450693132641922,,,,0.03682870386602938,0.16858503727466354,0.7945862588593071
1430.0,1703.15,0.3392732142828029,0.6607267857171971,0.0,0.006137446161740246,0.14965897392350502,0.8442035799147546,,,,0.041492491990287844,0.17150720820170687,0.7870002998080053
1420.0,1693.15,0.2904801366349835,0.7095198633650165,0.0,0.006658603467436744,0.1499212884627124,0.8434201080698509,,,,0.046158250041861686,0.17453641779229218,0.7793053321658462
1410.0,1683.15,0.2514477249220666,0.7485522750779334,0.0,0.007150301656561605,0.15014661113608982,0.8427030872073485,,,,0.05082603802674172,0.17768666328626817,0.7714872986869901
1400.0,1673.15,0.11758555369118029,0.5356185240125498,0.3467959222962699,0.007443946970051666,0.15937427420120281,0.8331817788287453,0.022110139954219354,0.14215334271973865,0.835736517326042,0.055088773506866646,0.1905802267459123,0.7543309997472211
1390.0,1663.15,0.015070868784298863,0.36923008185892203,0.6156990493567791,0.007713843939439163,0.16816877634263927,0.8241173797179214,0.02336776823321042,0.14928569566118344,0.8273465361056062,0.05950355598985318,0.20327047367824413,0.7372259703319027
1388.203125,1661.353125,-1.0591527654923993e-12,0.3441558051902635,0.6558441948107956,0.007526093053176497,0.17034357112509388,0.8221303358217297,0.02313316421801742,0.15081396943777237,0.8260528663442102,,,
