Показатель,Значение,Единица
Первое обнаружение выделений,3.24374e-05,ч
Максимальная объёмная доля,13.5546,%
Итоговая объёмная доля,13.5546,%
Итоговый средний радиус,1.17552,нм
Итоговая плотность частиц,1.66662e+25,1/м³
Пик скорости зарождения,9.30044e+25,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,да,—
