,"Время, ч","AL, матрица, ат.%","CR, матрица, ат.%","NI, матрица, ат.%"
0,0,9.8000000000000007,8.3000000000000007,81.899999999999991
1,2.7805555555555557e-06,9.8000000000000007,8.3000000000000007,81.899999999999991
2,5.5638916666666669e-06,9.7999840314318618,8.3000061312216147,81.900009837346516
3,5.6168677722941355e-06,9.7944566824644177,8.3021297506968565,81.903413566838722
4,5.670439069594785e-06,9.788971241549639,8.3042398742705288,81.906788884179832
5,5.7245991278424455e-06,9.7835272670212223,8.3063366090377393,81.910136123941029
6,5.7793426655717946e-06,9.7781243226464412,8.3084200611904695,81.913455616163091
7,5.8346654583435634e-06,9.7727619788873543,8.3104903358143627,81.91674768529829
8,5.8905642512158757e-06,9.767439812696896,8.312547536922823,81.920012650380286
9,5.9470366777041715e-06,9.7621574073200144,8.3145917674913452,81.923250825188646
10,6.0040811851282896e-06,9.7569143521088701,8.3166231294887236,81.926462518402417
11,6.0616969661357888e-06,9.7517102423505762,8.3186417239054045,81.929648033744016
12,6.1198838961225128e-06,9.7465446791067656,8.3206476507791525,81.932807670114087
13,6.1786424762244755e-06,9.7414172690645167,8.3226410092180227,81.935941721717469
14,6.2379737815402172e-06,9.7363276243971502,8.3246218974210606,81.939050478181784
15,6.2978794142142328e-06,9.7312753626346993,8.3265904126966905,81.942134224668607
16,6.3583614610303041e-06,9.7262601065428811,8.3285466514791011,81.945193241978018
17,6.4194224551540157e-06,9.7212814840098911,8.330490709342806,81.948227806647296
18,6.4810653416895501e-06,9.7163391279405023,8.3324226810154798,81.951238191044013
19,6.5432934467280255e-06,9.7114326761563845,8.3343426603894102,81.954224663454212
20,6.6061104495717712e-06,9.7065617713030985,8.3362507405313035,81.957187488165602
21,6.6695203578586156e-06,9.7017260607618994,8.3381470136911009,81.960126925547002
22,6.7335274853242752e-06,9.696925196566438,8.3400315713097442,81.963043232123823
23,6.7981364319418336e-06,9.6921588353245998,8.3419045040257078,81.965936660649703
24,6.863352066232086e-06,9.6874266381434975,8.3437659016809889,81.968807460175526
25,6.9291795095260758e-06,9.6827282705590427,8.345615853326132,81.971655876114824
26,6.9956241219971138e-06,9.6780634024680907,8.3474544472247167,81.974482150307196
27,7.0626914902887675e-06,9.6734317080643972,8.3492817708571732,81.977286521078426
28,7.1303874165826617e-06,9.6688328657769222,8.3510979109241052,81.980069223298969
29,7.1987179089697777e-06,9.6642665582110698,8.3529029533491777,81.982830488439745
30,7.267689172998391e-06,9.6597324720914983,8.354696983281773,81.985570544626725
31,7.3373076042665554e-06,9.6552302982083269,8.3564800850989815,81.988289616692683
32,7.4075797819873603e-06,9.6507597313640883,8.3582523424077007,81.990987926228215
33,7.4785124633979383e-06,9.6463204703235128,8.3600138380461395,81.993665691630341
34,7.5501125789560398e-06,9.6419122177643235,8.3617646540853627,81.996323128150323
35,7.6223872282329873e-06,9.6375346802299475,8.3635048718305676,81.998960447939481
36,7.6953436764379112e-06,9.633187568083871,8.3652345718221248,82.001577860094017
37,7.7689893515150931e-06,9.6288705954649867,8.3669538338365843,82.004175570698436
38,7.8433318417598111e-06,9.6245834802441976,8.3686627368876749,82.006753782868131
39,7.9183788938911895e-06,9.6203259439830422,8.3703613592268997,82.009312696790062
40,7.9941384115618801e-06,9.6160977118924045,8.3720497783443726,82.011852509763216
41,8.0706184542369588e-06,9.6118985127931929,8.3737280709693778,82.014373416237433
42,8.1478272364288412e-06,9.6077280790774466,8.3753963130709845,82.016875607851574
43,8.22577312723878e-06,9.6035861466709775,8.3770545798585392,82.019359273470485
44,8.3044646501922546e-06,9.5978022738975053,8.3793176998917343,82.022880026210771
45,8.3871103901547905e-06,9.5920787735497388,8.3815580669024818,82.02636315954777
46,8.4735916416749372e-06,9.5864109627110565,8.3837792464116987,82.029809790877238
47,8.5637845404616748e-06,9.5807977417950241,8.3859817144519173,82.03322054375306
48,8.6575587420187613e-06,9.5752381881076829,8.3881657531965708,82.03659605869575
49,8.7547814375075886e-06,9.5697314218370337,8.3903316310746163,82.03993694708835
50,8.8553209917205465e-06,9.5642766032064195,8.3924796036403109,82.043243793153266
51,8.9590499425127533e-06,9.5588729294832646,8.3946099145078801,82.046517156008861
52,9.0658473498756857e-06,9.553519631957851,8.3967227963258875,82.04975757171627
53,9.1756005273703607e-06,9.5482159729972622,8.3988184717496992,82.052965555253039
54,9.2882062185145596e-06,9.5429612432513569,8.4008971543805853,82.056141602368058
55,9.4035712972845764e-06,9.5377547590623148,8.4029590496487572,82.059286191288933
56,9.5216130777622436e-06,9.5325958601062624,8.405004355626172,82.062399784267569
57,9.6422593159714145e-06,9.5274839072790769,8.4070332637615675,82.065482828959361
58,9.7654479799021877e-06,9.5224196147015974,8.4090454603651654,82.068534924933232
59,9.8911224271282842e-06,9.5174030827646288,8.4110408246128205,82.071556092622558
60,1.0019233124571073e-05,9.5124337560689938,8.413019533885663,82.074546710045354
61,1.014973937682051e-05,9.5075111094028752,8.4149817390762944,82.07750715152082
62,1.0282608663812705e-05,9.5026346298914923,8.4169275875071143,82.080437782601393
63,1.0417816009143788e-05,9.4978038164647511,8.4188572231842134,82.083338960351043
64,1.0555343357078868e-05,9.4930181795064943,8.4207707869068038,82.086211033586707
65,1.0695178972729169e-05,9.4882772404980411,8.422668416368623,82.089054343133341
66,1.083731687536092e-05,9.4835805318484372,8.4245502462159294,82.091869221935639
67,1.0981756310128759e-05,9.4789275966419275,8.4264164080989996,82.094655995259075
68,1.1128501261662733e-05,9.4743179884711282,8.4282670307201588,82.097414980808708
69,1.1277560010038646e-05,9.4697512712927789,8.430102239860771,82.100146488846448
70,1.1428944728425275e-05,9.465227019303093,8.4319221584026476,82.102850822294258
71,1.1582671120665199e-05,9.4607448168304238,8.4337269063426046,82.105528276826973
72,1.1738758096382389e-05,9.4563042582418451,8.4355166008014084,82.10817914095675
73,1.1897227480856925e-05,9.4519049478605517,8.4372913560284939,82.110803696110963
74,1.2058026758958704e-05,9.4475483048385467,8.4390505499160771,82.113401145245376
75,1.2221175539818133e-05,9.4432340152616998,8.4407942679936294,82.115971716744667
76,1.2386698960217156e-05,9.4389616934619198,8.4425226218806682,82.11851568465741
77,1.2554623942288441e-05,9.4347309634953191,8.4442357201586695,82.121033316346015
78,1.27249790301521e-05,9.429125143303061,8.4464705488080956,82.124404307888838
79,1.2905278388856392e-05,9.4235986041128186,8.4486725682121779,82.127728827675
80,1.3095115368354981e-05,9.4181438783689728,8.4508482091291839,82.131007912501843
81,1.3294094564183649e-05,9.4127597696071472,8.452998179888235,82.134242050504611
82,1.3501821558963597e-05,9.4074454400601812,8.4551227243854257,82.137431835554395
83,1.3717916474842586e-05,9.4022000766670004,8.457222079195601,82.140577844137397
