"Температура, °C","Доля расплава, %","AL, ат.%","AL, мас.%","FE, ат.%","FE, мас.%","MG, ат.%","MG, мас.%","MN, ат.%","MN, мас.%","SI, ат.%","SI, мас.%"
850.0000000000001,100.0,91.51275130509806,91.08662994414519,0.1215306450886734,0.2503755634002304,0.5584959427931759,0.500751127429574,0.07412488916087864,0.15022533800177526,7.733097217859197,8.012018027023231
845.0000000000001,100.0,91.51275130620408,91.08662994517704,0.12153064505259936,0.25037556332572153,0.5584959416909433,0.5007511264409256,0.07412488916495857,0.15022533800993002,7.733097217887415,8.012018027046395
840.0000000000001,100.0,91.5127513060667,91.08662994503513,0.12153064507078447,0.250375563363172,0.5584959418146415,0.5007511265518059,0.0741248891636629,0.1502253380072956,7.733097217884194,8.012018027042602
835.0000000000001,100.0,91.51275130555786,91.08662994457517,0.12153064507279628,0.25037556336744454,0.558495942336114,0.5007511270196173,0.07412488916250179,0.1502253380050192,7.733097217870739,8.012018027032756
830.0000000000001,100.0,91.51275130578505,91.08662994478526,0.12153064506783967,0.2503755633571889,0.5584959421078867,0.500751126814899,0.0741248891625932,0.150225338005178,7.733097217876648,8.012018027037469
825.0000000000001,100.0,91.51275130639813,91.08662994536832,0.12153064503694413,0.2503755632934637,0.5584959415071916,0.5007511262761624,0.0741248891653061,0.15022533801063126,7.733097217892435,8.012018027051433
820.0000000000001,100.0,91.51275130587224,91.08662994486708,0.12153064506411762,0.2503755633495072,0.5584959420213611,0.5007511267372923,0.07412488916337119,0.1502253380067465,7.733097217878908,8.012018027039373
815.0000000000001,100.0,91.51275130476184,91.08662994382178,0.1215306451100425,0.2503755634442857,0.558495943119848,0.5007511277225323,0.07412488915850182,0.15022533799697685,7.733097217849756,8.01201802701444
810.0000000000001,100.0,91.51275130576701,91.08662994476484,0.12153064507067478,0.2503755633630229,0.5584959421224036,0.5007511268279012,0.07412488916372251,0.1502253380074626,7.733097217876184,8.012018027036767
805.0000000000001,100.0,91.51275130558552,91.08662994461179,0.12153064506093203,0.250375563343027,0.5584959423191133,0.5007511270044243,0.07412488916345845,0.15022533800697296,7.733097217870967,8.01201802703379
800.0000000000001,100.0,91.5127513056624,91.08662994466991,0.121530645072491,0.25037556336679,0.5584959422293639,0.5007511269238532,0.07412488916241557,0.15022533800482904,7.733097217873334,8.012018027034625
795.0000000000001,100.0,91.51275130591881,91.08662994489978,0.12153064507286879,0.2503755633674987,0.5584959419646319,0.5007511266863536,0.07412488916335677,0.15022533800669483,7.733097217880353,8.012018027039671
790.0000000000001,100.0,91.51275130679218,91.086629945743,0.12153064501784186,0.25037556325406135,0.5584959411202556,0.5007511259291366,0.0741248891662261,0.1502253380124669,7.733097217903488,8.012018027061343
785.0000000000001,100.0,91.51275130462567,91.08662994368672,0.12153064512481138,0.25037556347471357,0.5584959432489549,0.500751127838293,0.07412488915526613,0.15022533799042,7.733097217845303,8.012018027009868
