,"Время, с","Время, ч","Температура, °C","Объёмная доля, %","Средний радиус, нм","Плотность частиц, 1/м³","Скорость зарождения, 1/(м³·с)","Движущая сила, Дж/м³","Движущая сила, Дж/моль","Критический радиус, нм","Радиус зародыша, нм"
0,0,0,800.00000000000011,0,0,0,0,57704062.430526771,378.90059786038182,0.79717091072022939,0
1,0.01001,2.7805555555555557e-06,800.00000000000011,0,0,0,2.8434946397129608e+22,57704062.430506825,378.9005978602508,0.79717091072050483,1.0235811164985962
2,0.020030010000000001,5.5638916666666669e-06,800.00000000000011,1.4783490924309312e-05,0.49850000000000011,2.8490029686705596e+20,5.8377753532666622e+26,57703986.04850398,378.90009631520661,0.79717196592509199,1.0235821717031834
3,0.020220672760917175,5.6168535446992151e-06,800.00000000000011,0.01030837360196692,0.60920792989147221,1.0881724990045902e+23,6.2535180297914546e+26,57653032.090514891,378.56551874246355,0.79787650938775068,1.0242867151658419
4,0.020398292966603861,5.6661924907232947e-06,800.00000000000011,0.027017943908347851,0.66418819313237765,2.1555246379414645e+23,6.5537004739671401e+26,57572798.037722386,378.03868008862634,0.79898843842642919,1.0253986442045204
5,0.020567226781548945,5.7131185504302624e-06,800.00000000000011,0.052131603819468998,0.71865353234599916,3.199185435501754e+23,6.7087348812934542e+26,57454908.903153412,377.26458790710603,0.80062784674392351,1.0270380525220149
6,0.020731461029598913,5.7587391748885871e-06,800.00000000000011,0.087668590517714071,0.77243639845923362,4.2129896359942372e+23,6.6940822131154421e+26,57290943.326650657,376.18794525234989,0.80291922822296546,1.0293294340010566
7,0.020894908788848452,5.8041413302356808e-06,800.00000000000011,0.13341195798268665,0.89326974887844435,4.1864296922759976e+23,6.5435029729863627e+26,57087554.95375032,374.85244177401904,0.80577982429387729,1.0321900300719684
8,0.021060685564787341,5.8501904346631499e-06,800.00000000000011,0.17869154256873118,0.9200467762438258,5.1608686707357161e+23,6.3844543381656038e+26,56880682.927942611,373.49406368142814,0.80871040276140072,1.0351206085394919
9,0.021229107005959945,5.896974168322207e-06,800.00000000000011,0.22359800152230996,0.93820238866922501,6.1269764622568277e+23,6.2337465939823065e+26,56675247.791939184,372.14512059883413,0.81164179764808186,1.0380520034261731
10,0.021400096806335377,5.9444713350931604e-06,800.00000000000011,0.26813562461149115,0.95132841206296515,7.0848532976714562e+23,6.090624437114147e+26,56471236.086624742,370.80552415001875,0.81457398824133642,1.0409841940194278
11,0.021573583813330476,5.9926621703695766e-06,800.00000000000011,0.31387015515121125,0.962810601715406,8.0309816637390863e+23,5.9341582763203432e+26,56261803.479127176,369.43033258031204,0.81760621159372804,1.0440164173718194
12,0.02175004861050385,6.0416801695844024e-06,800.00000000000011,0.35921771671239899,0.97181216380466917,8.9688043242033129e+23,5.7864379712639915e+26,56053869.450011887,368.06498108461528,0.82063915393070597,1.0470493597087971
13,0.021929400629389032,6.0915001748302863e-06,800.00000000000011,0.40418362641842015,0.97906147771944763,9.898436100863761e+23,5.6466276457442173e+26,55847415.402162232,366.7093475491929,0.82367285341228214,1.0500830591903734
14,0.022111555540028562,6.1420987611190446e-06,800.00000000000011,0.44877254293485175,0.98502708244688264,1.0819978753748738e+24,5.5139909431108117e+26,55642426.259589717,365.36333298099629,0.82670730038613494,1.0531175061642262
