,Показатель,Значение,Единица
0,Первое обнаружение выделений,5.56389e-06,ч
1,Максимальная объёмная доля,6.59289,%
2,Итоговая объёмная доля,6.59289,%
3,Итоговый средний радиус,1.5331,нм
4,Итоговая плотность частиц,3.62619e+24,1/м³
5,Пик скорости зарождения,6.70873e+26,1/(м³·с)
6,Растворение после максимума,нет,—
7,Укрупнение на плато,да,—
