"Температура, °C","Доля расплава, %","CR, ат.%","CR, мас.%","NI, ат.%","NI, мас.%"
1800.0,100.0,22.008144776018476,19.999999999999833,77.9918552239815,80.00000000000016
1790.0,100.0,22.008144776018725,20.000000000000064,77.99185522398128,79.99999999999994
1780.0,100.0,22.008144776018877,20.000000000000203,77.99185522398113,79.99999999999979
1770.0,100.0,22.008144776018685,20.000000000000025,77.9918552239813,79.99999999999997
1760.0,100.0,22.00814477601866,20.000000000000004,77.99185522398135,80.0
1750.0,100.0,22.0081447760187,20.000000000000036,77.9918552239813,79.99999999999996
1740.0,100.0,22.008144776018558,19.999999999999908,77.99185522398143,80.00000000000009
1730.0,100.0,22.00814477601874,20.000000000000075,77.99185522398126,79.99999999999993
1720.0,100.0,22.00814477601856,19.999999999999908,77.99185522398145,80.0000000000001
1710.0,100.0,22.00814477601871,20.00000000000005,77.99185522398129,79.99999999999994
1700.0,100.0,22.008144776018693,20.000000000000032,77.9918552239813,79.99999999999996
1690.0,100.0,22.008144776018923,20.000000000000245,77.99185522398108,79.99999999999976
1680.0,100.0,22.008144776018508,19.99999999999986,77.99185522398147,80.00000000000014
1670.0,100.0,22.008144776018657,19.999999999999996,77.99185522398136,80.0
1660.0,100.0,22.008144776018714,20.00000000000005,77.99185522398129,79.99999999999994
1650.0,100.0,22.008144776018685,20.000000000000025,77.99185522398132,79.99999999999997
1640.0,100.0,22.00814477601861,19.999999999999957,77.99185522398139,80.00000000000004
1630.0,100.0,22.0081447760186,19.999999999999947,77.9918552239814,80.00000000000004
1620.0,100.0,22.00814477601858,19.999999999999925,77.99185522398142,80.00000000000007
1610.0,100.0,22.00814477601861,19.999999999999954,77.9918552239814,80.00000000000004
1600.0,100.0,22.008144776018543,19.99999999999989,77.99185522398146,80.0000000000001
1590.0,100.0,22.008144776018757,20.00000000000009,77.99185522398126,79.99999999999991
1580.0,100.0,22.008144776018618,19.99999999999996,77.99185522398139,80.00000000000004
1570.0,100.0,22.008144776018558,19.999999999999908,77.99185522398145,80.0000000000001
1560.0,100.0,22.008144776018685,20.00000000000003,77.9918552239813,79.99999999999997
1550.0,100.0,22.008144776018757,20.000000000000092,77.99185522398125,79.9999999999999
1540.0,100.0,22.00814477601855,19.9999999999999,77.99185522398145,80.0000000000001
1530.0,100.0,22.008144776018522,19.999999999999872,77.99185522398147,80.00000000000013
1520.0,100.0,22.008144765150327,19.999999989869046,77.99185523484968,80.00000001013096
1510.0,100.0,22.008144765149737,19.999999989868503,77.99185523485025,80.0000000101315
1500.0,100.0,22.008144765149325,19.99999998986812,77.99185523485066,80.00000001013188
1490.0,100.0,22.008144776018735,20.000000000000075,77.99185522398126,79.99999999999994
1480.0,100.0,22.008144765148288,19.99999998986715,77.99185523485171,80.00000001013284
1470.0,100.0,22.008144776018618,19.99999999999996,77.99185522398139,80.00000000000004
1460.0,100.0,22.008144776018586,19.999999999999932,77.99185522398142,80.00000000000006
1450.0,100.0,22.008144776018664,20.000000000000007,77.99185522398133,80.0
1440.0,100.0,22.00814477601855,19.999999999999897,77.99185522398146,80.0000000000001
1430.0,100.0,22.00814477601866,20.000000000000004,77.99185522398135,80.0
1420.0,51.77076423318232,22.708826379037568,20.653678456868914,77.29117362096243,79.34632154313108
1418.515625,0.0,,,,
