T_C,T_K,FCC_A1_NP,GAMMA_PRIME_NP,LIQUID_NP,BCC_B2_NP,phase_fraction_sum
500.0,773.15,0.6321354754082811,0.3678645245918388,0.0,0.0,1.00000000000012
525.0,798.15,0.6390758725989001,0.36092412740107493,0.0,0.0,0.999999999999975
550.0,823.15,0.6462217618133531,0.3537782381867765,0.0,0.0,1.0000000000001297
575.0,848.15,0.6536133737058171,0.34638662629416495,0.0,0.0,0.999999999999982
600.0,873.15,0.6612921726247665,0.33870782737523863,0.0,0.0,1.000000000000005
625.0,898.15,0.6693013554832328,0.33069864451717446,0.0,0.0,1.0000000000004072
650.0,923.15,0.677686339132308,0.3223136608678011,0.0,0.0,1.0000000000001092
675.0,948.15,0.6864952622417456,0.3135047377586054,0.0,0.0,1.000000000000351
700.0,973.15,0.6957795224392083,0.30422047756082016,0.0,0.0,1.0000000000000284
725.0,998.15,0.7055943669825627,0.29440563301745515,0.0,0.0,1.0000000000000178
750.0,1023.15,0.7159995542768111,0.284000445723341,0.0,0.0,1.000000000000152
775.0,1048.15,0.7270601043718736,0.2729398956269657,0.0,0.0,0.9999999999988394
800.0,1073.15,0.738847158426022,0.2611528415742208,0.0,0.0,1.000000000000243
825.0,1098.15,0.7514389699530403,0.24856103004707886,0.0,0.0,1.000000000000119
850.0,1123.15,0.764922055563979,0.235077944435945,0.0,0.0,0.999999999999924
875.0,1148.15,0.7793925378456804,0.2206074621550356,0.0,0.0,1.000000000000716
900.0,1173.15,0.7949577214796044,0.20504227852281887,0.0,0.0,1.0000000000024234
925.0,1198.15,0.8117379525525571,0.1882620474469275,0.0,0.0,0.9999999999994846
950.0,1223.15,0.8298688242405602,0.17013117575873068,0.0,0.0,0.9999999999992909
975.0,1248.15,0.8495038075931302,0.15049619240838447,0.0,0.0,1.0000000000015146
1000.0,1273.15,0.8708174080880596,0.12918259191037693,0.0,0.0,0.9999999999984366
1025.0,1298.15,0.8940089756099846,0.10599102439008526,0.0,0.0,1.00000000000007
1050.0,1323.15,0.9193073325463743,0.08069266745412158,0.0,0.0,1.0000000000004958
1075.0,1348.15,0.9469764341964448,0.053023565802983716,0.0,0.0,0.9999999999994286
1100.0,1373.15,0.9773223412424896,0.0226776587547194,0.0,0.0,0.999999999997209
1125.0,1398.15,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999
1150.0,1423.15,1.0,0.0,0.0,0.0,1.0
1175.0,1448.15,1.0,0.0,0.0,0.0,1.0
1200.0,1473.15,0.9999999999999998,0.0,0.0,0.0,0.9999999999999998
1225.0,1498.15,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002
1250.0,1523.15,0.9999999999999998,0.0,0.0,0.0,0.9999999999999998
1275.0,1548.15,1.0,0.0,0.0,0.0,1.0
1300.0,1573.15,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002
