Показатель,Значение,Единица
Первое обнаружение выделений,0.00179803,ч
Максимальная объёмная доля,7.10171,%
Итоговая объёмная доля,7.10171,%
Итоговый средний радиус,3.38935,нм
Итоговая плотность частиц,3.93297e+23,1/м³
Пик скорости зарождения,2.57638e+23,1/(м³·с)
Растворение после максимума,нет,—
Укрупнение на плато,да,—
