"Время, ч","AL, матрица, ат.%","CR, матрица, ат.%","NI, матрица, ат.%"
0.00036373815261913847,7.5,8.5,84.0
0.0003668824463273131,7.5,8.5,84.0
0.00037002988432919594,7.5,8.5,84.0
0.0003731804697690806,7.5,8.5,84.0
0.0003763342057944052,7.5,8.5,84.0
0.0003794910955557551,7.5,8.5,84.0
0.00038265114220686637,7.5,8.5,84.0
0.00038581434890462877,7.5,8.5,84.0
0.00038898071880908894,7.5,8.5,84.0
0.00039215025508345356,7.5,8.5,84.0
0.0003953229608940926,7.5,8.5,84.0
0.0003984988394105422,7.5,8.5,84.0
0.00040489083837149206,7.5,8.5,84.0
0.0004114375408758645,7.5,8.5,84.0
0.0004181968056789221,7.5,8.5,84.0
0.0004251782008636721,7.5,8.5,84.0
0.0004323927516746259,7.5,8.5,84.0
0.0004398522048194081,7.5,8.5,84.0
0.0004475691030651518,7.5,8.5,84.0
0.00045555685312151546,7.5,8.5,84.0
0.00046382980080500474,7.5,8.5,84.0
0.00047240331414611975,7.5,8.5,84.0
0.00048129387541961754,7.5,8.5,84.0
0.0004905191832428063,7.5,8.5,84.0
0.0005000982660371444,7.5,8.5,84.0
0.0005100516083510661,7.5,8.5,84.0
0.0005204012917663445,7.5,8.5,84.0
0.0005311711523810251,7.5,8.5,84.0
0.000542386957173407,7.5,8.5,84.0
0.0005540766019347903,7.5,8.5,84.0
0.0005662703338759396,7.5,8.5,84.0
0.0005790010025728819,7.5,8.5,84.0
0.0005923043435068743,7.5,8.5,84.0
0.0006062192992215204,7.5,8.5,84.0
0.0006207883840149686,7.5,8.5,84.0
0.0006360580991618088,7.5,8.5,84.0
0.0006520794069678666,7.5,8.5,84.0
0.0006689082735547435,7.5,8.5,84.0
0.0006866062921938903,7.5,8.5,84.0
0.0007052414013949845,7.5,8.5,84.0
0.0007248887148574887,7.5,8.5,84.0
0.0007456314839940771,7.5,8.5,84.0
0.0007675622182115037,7.5,8.5,84.0
0.0007907839937176405,7.5,8.5,84.0
0.0008154119886047241,7.5,8.5,84.0
0.0008415752908225887,7.499999999999998,8.500000000000002,84.0
0.0008694190368371387,7.499999999999996,8.500000000000002,84.00000000000001
0.0008991069531046854,7.499999999999988,8.500000000000004,84.00000000000001
0.0009308243909036129,7.499999999999963,8.50000000000001,84.00000000000003
0.0009647819688599292,7.499999999999877,8.50000000000003,84.0000000000001
0.0010012199685949942,7.499999999999615,8.500000000000092,84.0000000000003
0.0010404136696905433,7.499999999998792,8.500000000000282,84.00000000000092
0.0010826798628562123,7.499999999996211,8.500000000000888,84.0000000000029
0.0011283848634024952,7.499999999988121,8.500000000002785,84.0000000000091
0.0011779544054301672,7.4999999999627445,8.500000000008727,84.00000000002854
0.0012318860083482463,7.499999999883183,8.500000000027361,84.00000000008946
0.0012907644897589296,7.499999999633773,8.500000000085759,84.00000000028047
0.001355281633389493,7.499999998852042,8.500000000268752,84.00000000087921
0.0014262613353517109,7.499999996402209,8.500000000842077,84.00000000275571
0.0015046920731289536,7.49999998872589,8.50000000263798,84.00000000863612
0.001591769275525367,7.499999964675936,8.500000008262548,84.00000002706152
0.0016889512545982344,7.499999889335168,8.500000025875126,84.0000000847897
0.001798033988283325,7.499999653334665,8.500000081018259,84.00000026564707
0.0019212525612099718,7.499998914105594,8.500000253642932,84.00000083225147
0.0020614211427604757,7.499996598601652,8.500000793979998,84.00000260741835
0.0022221304399844717,7.4999893455494755,8.500002485099719,84.0000081693508
0.0024080352168685867,7.499966627480442,8.50000777671842,84.00002559580113
0.002625295201810994,7.499895503008451,8.50002432423176,84.0000801727598
0.002882314624894007,7.4996732573425335,8.500075969931094,84.00025077272637
0.0031911789757925924,7.498983265320913,8.500236207473424,84.00078052720566
0.0035710596843570733,7.496882850839744,8.500724857084787,84.00239229207547
0.003987126844341479,7.491620183794051,8.501962169605019,84.00641764660092
0.0041878477079843775,7.486388704752973,8.503219316275532,84.01039197897148
0.004345105907529229,7.4811788898488425,8.50449181095662,84.01432929919453
0.00448048411603571,7.47599084368286,8.505778826737542,84.01823032957961
0.004602587142958963,7.47082495918851,8.507079744544109,84.02209529626738
0.004715870244980125,7.46542501701331,8.508409862429968,84.02616512055671
0.004823520183496433,7.460051327679973,8.5097540135569,84.03019465876312
0.004927149263861362,7.454703525102755,8.511112182139064,84.03418429275817
0.005027887677853508,7.449381680461865,8.512483892285406,84.03813442725273
0.005126565293913628,7.444085845322491,8.513868659174333,84.04204549550317
0.005223814775925508,7.438816041792852,8.515266008726478,84.04591794948067
0.005320133702929015,7.433318328116773,8.51669822307333,84.0499834488099
0.005416407430050375,7.427850739992434,8.518142664424118,84.05400659558345
0.005512915755950058,7.4224122705379685,8.519599805005123,84.05798792445691
0.005609900702992641,7.417002769096209,8.521069187116124,84.06192804378767
0.005707574405856669,7.4116220980567595,8.522550340661244,84.065827561282
