"Время, с","Время, ч","Температура, °C","Объёмная доля, %","Средний радиус, нм","Плотность частиц, 1/м³","Скорость зарождения, 1/(м³·с)","Движущая сила, Дж/м³","Движущая сила, Дж/моль","Критический радиус, нм","Радиус зародыша, нм"
0.0,0.0,599.85,0.0,0.0,0.0,0.0,55270649.46148976,415.47166129738616,0.8684536995253578,0.0
0.01001,2.7805555555555557e-06,599.85,0.0,0.0,0.0,0.0,55270649.46148299,415.4716612973352,0.8684536995254641,0.0
0.02003001,5.563891666666667e-06,599.85,0.0,0.0,0.0,0.0,55270649.46147331,415.4716612972625,0.8684536995256162,0.0
0.03006004001,8.350011113888889e-06,599.85,0.0,0.0,0.0,0.0,55270649.46147669,415.4716612972879,0.8684536995255631,0.0
0.040100100050009996,1.1138916680558332e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147089,415.4716612972442,0.8684536995256543,0.0
0.05015020015006,1.3930611152794444e-05,599.85,0.0,0.0,0.0,0.0,55270649.46148299,415.4716612973352,0.8684536995254641,0.0
0.06021035035021005,1.672509731950279e-05,599.85,0.0,0.0,0.0,0.0,55270649.461476214,415.4716612972843,0.8684536995255705,0.0
0.07028056070056025,1.952237797237785e-05,599.85,0.0,0.0,0.0,0.0,55270649.461463146,415.4716612971861,0.8684536995257759,0.0
0.08036084126126081,2.232245590590578e-05,599.85,0.0,0.0,0.0,0.0,55270649.4614675,415.47166129721876,0.8684536995257075,0.0
0.09045120210252205,2.5125333917367238e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147379,415.4716612972661,0.8684536995256086,0.0
0.10055165330462457,2.793101480684016e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147476,415.4716612972734,0.8684536995255934,0.0
0.11066220495792918,3.073950137720255e-05,599.85,0.0,0.0,0.0,0.0,55270649.461478144,415.47166129729885,0.8684536995255402,0.0
0.1207828671628871,3.3550796434135305e-05,599.85,0.0,0.0,0.0,0.0,55270649.461472824,415.47166129725883,0.8684536995256238,0.0
0.13091365003004996,3.636490278612499e-05,599.85,0.0,0.0,0.0,0.0,55270649.46148589,415.47166129735706,0.8684536995254184,0.0
0.14105456368008,3.9181823244466666e-05,599.85,0.0,0.0,0.0,6.509720757143129e-289,55270649.461466044,415.47166129720785,0.8684536995257303,0.0
0.15120561824376005,4.200156062326668e-05,599.85,0.0,0.0,6.608053060008058e-291,8.464201717289822e-268,55270649.46147137,415.4716612972479,0.8684536995256467,0.0
0.1613668238620038,4.4824117739445495e-05,599.85,0.0,0.0,8.600649407297809e-270,2.525285469117478e-249,55270649.461477175,415.4716612972916,0.8684536995255554,0.0
0.1715381906858658,4.76494974127405e-05,599.85,0.0,0.0,2.568560483627426e-251,5.052362829515051e-233,55270649.461484924,415.4716612973498,0.8684536995254336,0.0
0.18171972887655163,5.047770246570879e-05,599.85,0.0,0.0,5.144082508530039e-235,1.5609712234733592e-218,55270649.46148299,415.4716612973352,0.8684536995254641,0.0
0.19191144860542816,5.3308735723730045e-05,599.85,0.0,0.0,1.5908981210555052e-220,1.4388109606110798e-205,55270649.46147379,415.4716612972661,0.8684536995256086,0.0
0.20211336005403358,5.614260001500933e-05,599.85,0.0,0.0,1.46786220113137e-207,6.700616806151067e-194,55270649.46147911,415.4716612973061,0.8684536995255251,0.0
0.21232547341408758,5.897929817057989e-05,599.85,0.0,0.0,6.842745840583932e-196,2.4151382823616244e-183,55270649.461481534,415.47166129732426,0.868453699525487,0.0
0.22254779888750165,6.181883302430601e-05,599.85,0.0,0.0,2.4688329583326966e-185,9.550455824367958e-174,55270649.461468466,415.47166129722604,0.8684536995256923,0.0
0.2327803466863891,6.466120741288587e-05,599.85,0.0,0.0,9.772549573772609e-176,5.527709652008745e-165,55270649.46146653,415.4716612972115,0.8684536995257227,0.0
0.24302312703307546,6.75064241758543e-05,599.85,0.0,0.0,5.661911580768554e-167,5.954228450690666e-157,55270649.46149121,415.4716612973971,0.8684536995253349,0.0
0.2532761501601085,7.03544861555857e-05,599.85,0.0,0.0,6.10488419886463e-159,1.4604739432802558e-149,55270649.46146798,415.4716612972224,0.8684536995256998,0.0
0.2635394263102686,7.320539619729684e-05,599.85,0.0,0.0,1.4989247392923032e-151,9.676041336656398e-143,55270649.46147476,415.4716612972734,0.8684536995255934,0.0
0.2738129657365789,7.605915714904968e-05,599.85,0.0,0.0,9.940719216797255e-145,2.0026262871245834e-136,55270649.46147137,415.4716612972479,0.8684536995256467,0.0
0.2840967787023154,7.891577186175428e-05,599.85,0.0,0.0,2.0594634177309358e-138,1.46669521151597e-130,55270649.46146218,415.4716612971788,0.8684536995257911,0.0
0.2943908754810177,8.17752431891716e-05,599.85,0.0,0.0,1.5098302454690333e-132,4.2324277708513025e-125,55270649.46146266,415.47166129718244,0.8684536995257836,0.0
0.30469526635649874,8.463757398791632e-05,599.85,0.0,0.0,4.361259010961556e-127,5.281994983519328e-120,55270649.46147331,415.4716612972625,0.8684536995256162,0.0
0.3150099616228552,8.750276711745978e-05,599.85,0.0,0.0,5.44821686578616e-122,3.0916830143936787e-115,55270649.46147089,415.4716612972442,0.8684536995256543,0.0
0.32533497158447805,9.03708254401328e-05,599.85,0.0,0.0,3.19216579229181e-117,9.111849879677968e-111,55270649.46147428,415.47166129726975,0.8684536995256009,0.0
