Temperature (°C),Temperature (K),NP(LIQUID),NP(FCC_A1),"X(FCC_A1,CR)","X(FCC_A1,NI)","X(LIQUID,CR)","X(LIQUID,NI)"
1800.0,2073.15,1.0,0.0,,,,
1800.0,2073.15,1.0,0.0,,,0.22008144776018482,0.7799185522398153
1790.0,2063.15,1.0,0.0,,,0.22008144776018276,0.7799185522398172
1780.0,2053.15,1.0,0.0,,,0.2200814477601826,0.7799185522398173
1770.0,2043.15,1.0,0.0,,,0.22008144776018262,0.7799185522398173
1760.0,2033.15,1.0,0.0,,,0.2200814477601817,0.7799185522398184
1750.0,2023.15,1.0,0.0,,,0.22008144776018188,0.7799185522398181
1740.0,2013.15,1.0,0.0,,,0.22008144776018068,0.7799185522398194
1730.0,2003.15,1.0,0.0,,,0.22008144776018157,0.7799185522398184
1720.0,1993.15,1.0,0.0,,,0.22008144776018057,0.7799185522398193
1710.0,1983.15,1.0,0.0,,,0.22008144776018282,0.7799185522398172
1700.0,1973.15,1.0,0.0,,,0.22008144776018138,0.7799185522398188
1690.0,1963.15,1.0,0.0,,,0.22008144776018188,0.7799185522398181
1680.0,1953.15,1.0,0.0,,,0.22008144776018226,0.7799185522398177
1670.0,1943.15,1.0,0.0,,,0.2200814477601813,0.7799185522398189
1660.0,1933.15,1.0,0.0,,,0.22008144776018182,0.7799185522398182
1650.0,1923.15,1.0,0.0,,,0.2200814477601802,0.7799185522398199
1640.0,1913.15,1.0,0.0,,,0.22008144776018077,0.7799185522398192
1630.0,1903.15,1.0,0.0,,,0.22008144776018052,0.7799185522398194
1620.0,1893.15,1.0,0.0,,,0.22008144776017974,0.7799185522398202
1610.0,1883.15,1.0,0.0,,,0.2200814477601799,0.77991855223982
1600.0,1873.15,1.0,0.0,,,0.22008144776018002,0.7799185522398201
1590.0,1863.15,1.0,0.0,,,0.22008144776018085,0.7799185522398192
1580.0,1853.15,1.0,0.0,,,0.22008144776018101,0.779918552239819
1570.0,1843.15,1.0,0.0,,,0.2200814477601798,0.7799185522398202
1560.0,1833.15,1.0,0.0,,,0.2200814477601814,0.7799185522398185
1550.0,1823.15,1.0,0.0,,,0.22008144776018312,0.779918552239817
1540.0,1813.15,1.0,0.0,,,0.22008144776018307,0.779918552239817
1530.0,1803.15,1.0,0.0,,,0.2200814477601843,0.7799185522398157
1520.0,1793.15,1.0,0.0,,,0.22008144765149978,0.7799185523485003
1510.0,1783.15,1.0,0.0,,,0.22008144754280995,0.77991855245719
1500.0,1773.15,1.0,0.0,,,0.22008144743411662,0.7799185525658834
1490.0,1763.15,1.0,0.0,,,0.22008144743411553,0.7799185525658846
1480.0,1753.15,1.0,0.0,,,0.2200814473254102,0.7799185526745899
1470.0,1743.15,1.0,0.0,,,0.22008144732541035,0.7799185526745898
1460.0,1733.15,1.0,0.0,,,0.2200814473254103,0.7799185526745898
1450.0,1723.15,1.0,0.0,,,0.22008144732541066,0.7799185526745893
1440.0,1713.15,1.0,0.0,,,0.22008144732540955,0.7799185526745904
1430.0,1703.15,1.0,0.0,,,0.22008144732541013,0.7799185526745898
1420.0,1693.15,0.517707614025118,0.48229238597488205,0.2125601130730412,0.7874398869269587,0.2270882637903694,0.7729117362096305
1417.6743196063862,1690.8243196063863,0.07662637279907636,0.9233736272009236,0.2248191467572259,0.7751808532427741,0.24014988893190262,0.7598501110680974
1415.3486392127725,1688.4986392127726,0.016011787562165036,0.983988212437835,0.23677851351408177,0.7632214864859184,0.25291264398564606,0.747087356014354
1413.0229588191587,1686.1729588191588,0.0042242823044156275,0.9957757176955844,0.2484438709829645,0.7515561290170355,0.2653823800185222,0.7346176199814778
1410.697278425545,1683.847278425545,0.0013236823003390796,0.9986763176996609,0.2598223232685988,0.7401776767314012,0.27756619529444804,0.722433804705552
1408.3715980319312,1681.5215980319313,0.00047410876937103996,0.999525891230629,0.270922040986598,0.729077959013402,0.2894721080307426,0.7105278919692575
1406.0459176383174,1679.1959176383175,0.00018909059267468997,0.9998109094073253,0.2817519482602338,0.7182480517397661,0.3011087835015903,0.6988912164984097
1403.7202372447036,1676.8702372447037,8.24048639862518e-05,0.9999175951360137,0.29232146835973066,0.7076785316402693,0.312485310004768,0.6875146899952321
1403.7202372447036,1676.8702372447037,0.0,0.9999640883160154,0.29232146835973066,0.7076785316402693,0.312485310004768,0.6875146899952321
