Метод,"Расчётный ликвидус, °C","T при доле твёрдого 0.01 % по траектории, °C","Температура окончания, °C",Что означает окончание,"Интервал кристаллизации, °C","Остаточный расплав в точке окончания, %",Точек расчёта,Расчёт завершён
Равновесное,1421.2109375,1429.9979265688457,1418.515625,равновесный солидус,2.6953125,0.0,40,да
Scheil–Gulliver,1421.2109375,1429.9979265689672,1403.7202372447036,достигнут критерий остаточного расплава,17.49070025529636,0.00824048639862518,48,да
