"Время, с","Время, ч","Температура, °C","Объёмная доля, %","Средний радиус, нм","Плотность частиц, 1/м³","Скорость зарождения, 1/(м³·с)","Движущая сила, Дж/м³","Движущая сила, Дж/моль","Критический радиус, нм","Радиус зародыша, нм"
0.0,0.0,599.85,0.0,0.0,0.0,0.0,30826724.599669427,229.7033006856582,1.4597723431338068,0.0
0.036864,1.024e-05,599.85,0.0,0.0,0.0,0.0,30826724.599677235,229.70330068571639,1.459772343133437,0.0
0.073764864,2.049024e-05,599.85,0.0,0.0,0.0,0.0,30826724.599675283,229.70330068570183,1.4597723431335294,0.0
0.110702628864,3.075073024e-05,599.85,0.0,0.0,0.0,0.0,30826724.599668447,229.7033006856509,1.459772343133853,0.0
0.147677331492864,4.102148097024e-05,599.85,0.0,0.0,0.0,0.0,30826724.59967577,229.70330068570547,1.4597723431335063,0.0
0.18468900882435685,5.1302502451210234e-05,599.85,0.0,0.0,0.0,0.0,30826724.59967577,229.70330068570547,1.4597723431335063,0.0
0.2217376978331812,6.159380495366144e-05,599.85,0.0,0.0,0.0,0.0,30826724.599680655,229.70330068574185,1.459772343133275,0.0
0.2588234355310144,7.18953987586151e-05,599.85,0.0,0.0,0.0,0.0,30826724.599664543,229.70330068562183,1.459772343134038,0.0
0.2959462589665454,8.220729415737373e-05,599.85,0.0,0.0,0.0,0.0,30826724.599668935,229.70330068565454,1.4597723431338299,0.0
0.333106205225512,9.25295014515311e-05,599.85,0.0,0.0,0.0,0.0,30826724.599676747,229.70330068571275,1.4597723431334602,0.0
0.3703033114307375,0.00010286203095298264,599.85,0.0,0.0,0.0,0.0,30826724.599674307,229.70330068569456,1.4597723431335756,0.0
0.40753761474216826,0.00011320489298393563,599.85,0.0,0.0,0.0,0.0,30826724.599674307,229.70330068569456,1.4597723431335756,0.0
0.44480915235691043,0.00012355809787691955,599.85,0.0,0.0,0.0,0.0,30826724.599672355,229.70330068568003,1.459772343133668,0.0
0.48211796150926733,0.0001339216559747965,599.85,0.0,0.0,0.0,0.0,30826724.599678215,229.7033006857237,1.4597723431333904,0.0
0.5194640794707766,0.00014429557763077127,599.85,0.0,0.0,0.0,0.0,30826724.599666495,229.70330068563635,1.4597723431339455,0.0
0.5568475435502472,0.000154679873208402,599.85,0.0,0.0,0.0,0.0,30826724.599672355,229.70330068568003,1.459772343133668,0.0
0.5942683910937974,0.00016507455308161038,599.85,0.0,0.0,0.0,0.0,30826724.599672843,229.70330068568364,1.4597723431336451,0.0
0.631726659484891,0.00017547962763469195,599.85,0.0,0.0,0.0,0.0,30826724.599675283,229.70330068570183,1.4597723431335294,0.0
0.6692223861443758,0.00018589510726232662,599.85,0.0,0.0,0.0,0.0,30826724.599663567,229.70330068561455,1.4597723431340843,0.0
0.70675560853052,0.00019632100236958888,599.85,0.0,0.0,0.0,0.0,30826724.599669427,229.7033006856582,1.4597723431338068,0.0
0.7443263641390503,0.0002067573233719584,599.85,0.0,0.0,0.0,0.0,30826724.599675283,229.70330068570183,1.4597723431335294,0.0
0.7819346905031891,0.0002172040806953303,599.85,0.0,0.0,0.0,0.0,30826724.599661615,229.70330068559997,1.4597723431341767,0.0
0.819580625193692,0.00022766128477602556,599.85,0.0,0.0,0.0,0.0,30826724.59968212,229.70330068575277,1.4597723431332055,0.0
0.8572642058188854,0.0002381289460608015,599.85,0.0,0.0,0.0,0.0,30826724.599671867,229.7033006856764,1.459772343133691,0.0
0.894985470024704,0.00024860707500686224,599.85,0.0,0.0,0.0,0.0,30826724.599657707,229.70330068557087,1.4597723431343617,0.0
0.9327444554947284,0.000259095682081869,599.85,0.0,0.0,0.0,0.0,30826724.599662103,229.70330068560364,1.4597723431341536,0.0
