"Время, с","Время, ч","Температура, °C","Объёмная доля, %","Средний радиус, нм","Плотность частиц, 1/м³","Скорость зарождения, 1/(м³·с)","Движущая сила, Дж/м³","Движущая сила, Дж/моль","Критический радиус, нм","Радиус зародыша, нм"
0.0,0.0,599.85,0.0,0.0,0.0,0.0,55270649.46148976,415.47166129738616,0.6513402746440183,0.0
0.036864,1.024e-05,599.85,0.0,0.0,0.0,0.0,55270649.46148299,415.4716612973352,0.6513402746440982,0.0
0.073764864,2.049024e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147331,415.4716612972625,0.6513402746442122,0.0
0.110702628864,3.075073024e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147669,415.4716612972879,0.6513402746441723,0.0
0.147677331492864,4.102148097024e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147089,415.4716612972442,0.6513402746442407,0.0
0.18468900882435685,5.1302502451210234e-05,599.85,0.0,0.0,0.0,0.0,55270649.46148299,415.4716612973352,0.6513402746440982,0.0
0.2217376978331812,6.159380495366144e-05,599.85,0.0,0.0,0.0,0.0,55270649.461476214,415.4716612972843,0.651340274644178,0.0
0.2588234355310144,7.18953987586151e-05,599.85,0.0,0.0,0.0,0.0,55270649.461463146,415.4716612971861,0.651340274644332,0.0
0.2959462589665454,8.220729415737373e-05,599.85,0.0,0.0,0.0,0.0,55270649.4614675,415.47166129721876,0.6513402746442807,0.0
0.333106205225512,9.25295014515311e-05,599.85,0.0,0.0,0.0,0.0,55270649.46147379,415.4716612972661,0.6513402746442065,0.0
0.3703033114307375,0.00010286203095298264,599.85,0.0,0.0,0.0,1.1999290917292799e-290,55270649.46147476,415.4716612972734,0.6513402746441951,0.0
0.40753761474216826,0.00011320489298393563,599.85,0.0,0.0,4.467852375365763e-292,1.149856879750971e-261,55270649.461478144,415.47166129729885,0.6513402746441552,0.0
0.44480915235691043,0.00012355809787691955,599.85,0.0,0.0,4.285693395187542e-263,1.6286973126434102e-237,55270649.461472824,415.47166129725883,0.6513402746442178,0.0
0.48211796150926733,0.0001339216559747965,599.85,0.0,0.0,6.07647572359396e-239,4.440454609262918e-217,55270649.46148589,415.47166129735706,0.6513402746440639,0.0
0.5194640794707766,0.00014429557763077127,599.85,0.0,0.0,1.6583374157808683e-218,1.4574947427994828e-199,55270649.461466044,415.47166129720785,0.6513402746442978,0.0
0.5568475435502472,0.000154679873208402,599.85,0.0,0.0,5.4486202372641355e-201,2.209329872481969e-184,55270649.46147137,415.4716612972479,0.651340274644235,0.0
0.5942683910937974,0.00016507455308161038,599.85,0.0,0.0,8.267499635192502e-186,4.239349891403332e-171,55270649.461477175,415.4716612972916,0.6513402746441667,0.0
0.631726659484891,0.00017547962763469195,599.85,0.0,0.0,1.5879870601290616e-172,2.2263646714726641e-159,55270649.461484924,415.4716612973498,0.6513402746440753,0.0
0.6692223861443758,0.00018589510726232662,599.85,0.0,0.0,8.34791611469197e-161,5.829195577868351e-149,55270649.46148299,415.4716612973352,0.6513402746440982,0.0
0.70675560853052,0.00019632100236958888,599.85,0.0,0.0,2.1878849391703047e-150,1.2216875252871495e-139,55270649.46147379,415.4716612972661,0.6513402746442065,0.0
0.7443263641390503,0.0002067573233719584,599.85,0.0,0.0,4.589972344265968e-141,2.9932980416854684e-131,55270649.46147911,415.4716612973061,0.6513402746441438,0.0
0.7819346905031891,0.0002172040806953303,599.85,0.0,0.0,1.1257292965497095e-132,1.1650486186337134e-123,55270649.461481534,415.47166129732426,0.6513402746441153,0.0
0.819580625193692,0.00022766128477602556,599.85,0.0,0.0,4.3859344205497347e-125,9.257556394248245e-117,55270649.461468466,415.47166129722604,0.6513402746442692,0.0
0.8572642058188854,0.0002381289460608015,599.85,0.0,0.0,3.4885787280681554e-118,1.8476187514961798e-110,55270649.46146653,415.4716612972115,0.6513402746442921,0.0
0.894985470024704,0.00024860707500686224,599.85,0.0,0.0,6.969451509613033e-112,1.1007699735896193e-104,55270649.46149121,415.4716612973971,0.6513402746440012,0.0
0.9327444554947284,0.000259095682081869,599.85,0.0,0.0,4.1563957428899343e-106,2.2633557435607303e-99,55270649.46146798,415.4716612972224,0.6513402746442749,0.0
0.9705411999502228,0.0002695947777639508,599.85,0.0,0.0,8.554747866265249e-101,1.8159003676331273e-94,55270649.46147476,415.4716612972734,0.6513402746441951,0.0
1.0083757411501728,0.0002801043725417147,599.85,0.0,0.0,6.870375727670288e-96,6.311421289730217e-90,55270649.46147137,415.4716612972479,0.651340274644235,0.0
1.0462481168913227,0.0002906244769142563,599.85,0.0,0.0,2.3902851854937933e-91,1.0394023985659065e-85,55270649.46146218,415.4716612971788,0.6513402746443434,0.0
1.0841583650082136,0.00030115510139117047,599.85,0.0,0.0,3.9404002827708204e-87,8.762298769137116e-82,55270649.46146266,415.47166129718244,0.6513402746443377,0.0
1.1221065233732215,0.00031169625649256154,599.85,0.0,0.0,3.325131013691295e-83,4.043080779790995e-78,55270649.46147331,415.4716612972625,0.6513402746442122,0.0
1.1600926298965943,0.000322247952749054,599.85,0.0,0.0,1.535808971931754e-79,1.0824216595694822e-74,55270649.46147089,415.4716612972442,0.6513402746442407,0.0
1.1981167225264906,0.00033281020070180295,599.85,0.0,0.0,4.1158101449066473e-76,1.7694312379977523e-71,55270649.46147428,415.47166129726975,0.6513402746442009,0.0
1.2361788392490167,0.00034338301090250465,599.85,0.0,0.0,6.734829831269099e-73,1.847145270738199e-68,55270649.46147573,415.47166129728066,0.6513402746441836,0.0
1.2742790180882653,0.00035396639391340704,599.85,0.0,0.0,7.03765651695767e-70,1.2811032592660764e-65,55270649.46148299,415.4716612973352,0.6513402746440982,0.0
1.312417297106353,0.00036456036030732027,599.85,0.0,0.0,4.885907354843128e-67,6.113704603483428e-63,55270649.46149073,415.47166129739344,0.6513402746440069,0.0
1.3505937144034588,0.0003751649206676274,599.85,0.0,0.0,2.3339933814089425e-64,2.0710578404971468e-60,55270649.4614946,415.4716612974225,0.6513402746439613,0.0
1.3888083081178617,0.0003857800855882949,599.85,0.0,0.0,7.91446339247936e-62,5.120530651501627e-58,55270649.46146992,415.47166129723695,0.6513402746442521,0.0
1.427061116425979,0.00039640586567388306,599.85,0.0,0.0,1.9587467745694253e-59,9.472615673385939e-56,55270649.46146992,415.47166129723695,0.6513402746442521,0.0
1.4653521775424043,0.0004070422715395568,599.85,0.0,0.0,3.627165056858337e-57,1.3407472036861135e-53,55270649.461475246,415.471661297277,0.6513402746441893,0.0
1.5036815297199462,0.00041768931381109615,599.85,0.0,0.0,5.138997174949293e-55,1.481380983236995e-51,55270649.461468466,415.47166129722604,0.6513402746442692,0.0
1.5420492112496655,0.0004283470031249071,599.85,0.0,0.0,5.683715378958983e-53,1.3010666551642216e-49,55270649.461468466,415.47166129722604,0.6513402746442692,0.0
1.5804552604609146,0.00043901535012803183,599.85,0.0,0.0,4.996882998875631e-51,9.233487166448184e-48,55270649.46147234,415.4716612972552,0.6513402746442236,0.0
1.618899715721375,0.0004496943654781597,599.85,0.0,0.0,3.549763842756256e-49,5.374319838045913e-46,55270649.461471856,415.47166129725156,0.6513402746442294,0.0
1.6573826154370956,0.0004603840598436377,599.85,0.0,0.0,2.068194113594561e-47,2.6004221308845856e-44,55270649.46147669,415.4716612972879,0.6513402746441723,0.0
1.6959039980525321,0.0004710844439034811,599.85,0.0,0.0,1.0017185586374048e-45,1.0589511957624123e-42,55270649.4614796,415.47166129730977,0.6513402746441381,0.0
1.734463902050584,0.0004817955283473845,599.85,0.0,0.0,4.083305644856759e-44,3.6703189015469883e-41,55270649.461476214,415.4716612972843,0.651340274644178,0.0
1.7730623659526341,0.0004925173238757317,599.85,0.0,0.0,1.4166867162668933e-42,1.0939457229281469e-39,55270649.46148782,415.47166129737155,0.6513402746440412,0.0
1.811699428318586,0.0005032498411996073,599.85,0.0,0.0,4.226684911947745e-41,2.8304002944598846e-38,55270649.46147137,415.4716612972479,0.651340274644235,0.0
1.850375127746904,0.0005139930910408066,599.85,0.0,0.0,1.0946771104551964e-39,6.412415934670683e-37,55270649.4614825,415.47166129733154,0.6513402746441038,0.0
1.8890895028746504,0.0005247470841318473,599.85,0.0,0.0,2.482526759463401e-38,1.2822654544627424e-35,55270649.461478144,415.47166129729885,0.6513402746441552,0.0
1.9278425923775244,0.000535511831215979,599.85,0.0,0.0,4.9691747922819976e-37,2.27984804586939e-34,55270649.461475246,415.471661297277,0.6513402746441893,0.0
1.9666344349699014,0.0005462873430471948,599.85,0.0,0.0,8.843950652595873e-36,3.628686960983588e-33,55270649.46147234,415.4716612972552,0.6513402746442236,0.0
2.005465069404871,0.0005570736303902419,599.85,0.0,0.0,1.4090421686611424e-34,5.202720619167415e-32,55270649.46147234,415.4716612972552,0.6513402746442236,0.0
2.044334534474275,0.000567870704020632,599.85,0.0,0.0,2.0222696738163168e-33,6.758791511512796e-31,55270649.46147573,415.47166129728066,0.6513402746441836,0.0
2.0832428690087488,0.0005786785747246524,599.85,0.0,0.0,2.629733211658671e-32,7.998379372492161e-30,55270649.46147669,415.4716612972879,0.6513402746441723,0.0
2.122190111877757,0.0005894972532993769,599.85,0.0,0.0,3.1151482398699254e-31,8.665613128299699e-29,55270649.46146992,415.47166129723695,0.6513402746442521,0.0
2.1611763019896344,0.0006003267505526762,599.85,0.0,0.0,3.378392408612293e-30,8.635323397640114e-28,55270649.46149218,415.47166129740435,0.6513402746439898,0.0
2.2002014782916235,0.0006111670773032287,599.85,0.0,0.0,3.3699501798584455e-29,7.949108911886819e-27,55270649.46147234,415.4716612972552,0.6513402746442236,0.0
2.2392656797699146,0.0006220182443805319,599.85,0.0,0.0,3.1052559211266353e-28,6.786876988841292e-26,55270649.461475246,415.471661297277,0.6513402746441893,0.0
2.2783689454496843,0.0006328802626249123,599.85,0.0,0.0,2.653890540397592e-27,5.394703912777079e-25,55270649.46148444,415.47166129734615,0.6513402746440811,0.0
2.3175113143951336,0.0006437531428875371,599.85,0.0,0.0,2.11161490897387e-26,4.006255060567558e-24,55270649.4614796,415.47166129730977,0.6513402746441381,0.0
2.3566928257095285,0.0006546368960304246,599.85,0.0,0.0,1.5697112798228472e-25,2.7887631602225287e-23,55270649.46146992,415.47166129723695,0.6513402746442521,0.0
2.395913518535238,0.000665531532926455,599.85,0.0,0.0,1.093772232732906e-24,1.8252599428079293e-22,55270649.461469434,415.4716612972333,0.6513402746442579,0.0
2.4351734320537735,0.0006764370644593815,599.85,0.0,0.0,7.165954750562e-24,1.1265027038328539e-21,55270649.46147331,415.4716612972625,0.6513402746442122,0.0
2.4744726054858273,0.0006873535015238409,599.85,0.0,0.0,4.427062513142774e-23,6.573722392998762e-21,55270649.46147863,415.4716612973025,0.6513402746441496,0.0
2.513811078091313,0.0006982808550253648,599.85,0.0,0.0,2.5860019826400035e-22,3.6363688058673585e-20,55270649.46147331,415.4716612972625,0.6513402746442122,0.0
2.5531888891694043,0.0007092191358803901,599.85,0.0,0.0,1.431922438506915e-21,1.9113567095107548e-19,55270649.461463146,415.4716612971861,0.651340274644332,0.0
2.592606078058574,0.0007201683550162705,599.85,0.0,0.0,7.534030845769684e-21,9.567786506539516e-19,55270649.4614704,415.4716612972406,0.6513402746442464,0.0
2.6320626841366326,0.0007311285233712868,599.85,0.0,0.0,3.775123832257935e-20,4.570871712856011e-18,55270649.46149073,415.47166129739344,0.6513402746440069,0.0
2.6715587468207693,0.0007420996518946581,599.85,0.0,0.0,1.8053143568781845e-19,2.0882074979292598e-17,55270649.461471856,415.47166129725156,0.6513402746442294,0.0
2.71109430556759,0.0007530817515465528,599.85,0.0,0.0,8.255845020839242e-19,9.140197842289363e-17,55270649.46147428,415.47166129726975,0.6513402746442009,0.0
2.7506693998731575,0.0007640748332980993,599.85,0.0,0.0,3.617241915762149e-18,3.839896897578688e-16,55270649.46146363,415.4716612971897,0.6513402746443262,0.0
2.7902840692730306,0.0007750789081313973,599.85,0.0,0.0,1.521162461397119e-17,1.5509500051966152e-15,55270649.46146798,415.4716612972224,0.6513402746442749,0.0
2.8299383533423037,0.0007860939870395289,599.85,0.0,0.0,6.150181208463878e-17,6.03230047653338e-15,55270649.461476214,415.4716612972843,0.651340274644178,0.0
2.869632291695646,0.0007971200810265684,599.85,0.0,0.0,2.3944576324883435e-16,2.2627198620967702e-14,55270649.46146508,415.4716612972007,0.6513402746443092,0.0
2.9093659239873415,0.0008081572011075949,599.85,0.0,0.0,8.990607898144506e-16,8.197142378328485e-14,55270649.461476214,415.4716612972843,0.651340274644178,0.0
2.9491392899113285,0.0008192053583087023,599.85,0.0,0.0,3.2602794332112046e-15,2.871884533729802e-13,55270649.46148444,415.47166129734615,0.6513402746440811,0.0
2.9889524292012393,0.0008302645636670109,599.85,0.0,0.0,1.1433873895937082e-14,9.743231378735444e-13,55270649.46146701,415.4716612972151,0.6513402746442865,0.0
3.02880538163044,0.0008413348282306777,599.85,0.0,0.0,3.882965366578465e-14,3.2048008743886517e-12,55270649.46148686,415.47166129736434,0.6513402746440525,0.0
3.0686981870120698,0.0008524161630589082,599.85,0.0,0.0,1.2784849756598977e-13,1.0232105348944442e-11,55270649.46147331,415.4716612972625,0.6513402746442122,0.0
3.1086308851990814,0.0008635085792219671,599.85,0.0,0.0,4.0859557472562056e-13,3.174489638767767e-11,55270649.46147137,415.4716612972479,0.651340274644235,0.0
3.14860351608428,0.0008746120878011888,599.85,0.0,0.0,1.268927025822119e-12,9.580395887940428e-11,55270649.46147573,415.47166129728066,0.6513402746441836,0.0
