,Проверка,Статус,Примечание
0,Время возрастает,пройдена,Нет обратного хода времени.
1,Температура конечна,пройдена,Все точки температуры числовые.
2,Объёмная доля 0–1,пройдена,Физический диапазон доли.
3,Радиус неотрицателен,пройдена,Средний радиус неотрицателен.
4,Плотность неотрицательна,пройдена,Количество частиц неотрицательно.
5,Состав матрицы допустим,пройдена,Проверка независимых компонентов.
