# 2026-09-25T11:32:10 $ /tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/bin/python -B -X utf8 /home/user/ThermoGar/results/wave22_a/scripts/kwn_run.py --tag a2_005h_mincomp1e-8_s1 --cell app --bins 80 --duration-h 0.05 --constraint minComposition=1e-8 --progress 30
/tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/lib/python3.11/site-packages/kawin/precipitation/NucleationRate.py:190: RuntimeWarning: divide by zero encountered in divide
  incubationTime = np.amin([np.exp(-tau[indices] / time), np.ones(tau[indices].shape)], axis=0)
ЖУРНАЛ стена=30 с; t=25.6248 с (0.007118 ч); шаг=859; доля=0.0491 %; x_C=0.00906
ЖУРНАЛ стена=60 с; t=29.4121 с (0.00817 ч); шаг=1989; доля=0.0582 %; x_C=0.009042
ЖУРНАЛ стена=90 с; t=33.2374 с (0.009233 ч); шаг=3135; доля=0.0673 %; x_C=0.009024
ЖУРНАЛ стена=120 с; t=36.9943 с (0.01028 ч); шаг=4265; доля=0.0761 %; x_C=0.009007
ЖУРНАЛ стена=150 с; t=40.7299 с (0.01131 ч); шаг=5393; доля=0.0848 %; x_C=0.00899
ЖУРНАЛ стена=180 с; t=44.4117 с (0.01234 ч); шаг=6509; доля=0.0932 %; x_C=0.008973
ЖУРНАЛ стена=210 с; t=48.1224 с (0.01337 ч); шаг=7638; доля=0.1015 %; x_C=0.008957
ЖУРНАЛ стена=240 с; t=51.8522 с (0.0144 ч); шаг=8777; доля=0.1098 %; x_C=0.00894
ЖУРНАЛ стена=270 с; t=55.5096 с (0.01542 ч); шаг=9898; доля=0.1179 %; x_C=0.008924
ЖУРНАЛ стена=300 с; t=59.1184 с (0.01642 ч); шаг=11008; доля=0.1257 %; x_C=0.008909
ЖУРНАЛ стена=330 с; t=62.7115 с (0.01742 ч); шаг=12117; доля=0.1334 %; x_C=0.008893
ЖУРНАЛ стена=360 с; t=66.4052 с (0.01845 ч); шаг=13261; доля=0.1412 %; x_C=0.008878
ЖУРНАЛ стена=390 с; t=70.0283 с (0.01945 ч); шаг=14387; доля=0.1488 %; x_C=0.008863
ЖУРНАЛ стена=420 с; t=73.6041 с (0.02045 ч); шаг=15502; доля=0.1562 %; x_C=0.008848
ЖУРНАЛ стена=450 с; t=77.2097 с (0.02145 ч); шаг=16630; доля=0.1636 %; x_C=0.008834
ЖУРНАЛ стена=480 с; t=80.8003 с (0.02244 ч); шаг=17757; доля=0.1709 %; x_C=0.008819
