# 2026-09-25T12:08:11 $ /tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/bin/python -B -X utf8 /home/user/ThermoGar/results/wave22_a/scripts/kwn_run.py --tag a2_005h_mincomp1e-8_s2 --cell app --bins 80 --duration-h 0.05 --constraint minComposition=1e-8 --progress 30
/tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/lib/python3.11/site-packages/kawin/precipitation/NucleationRate.py:190: RuntimeWarning: divide by zero encountered in divide
  incubationTime = np.amin([np.exp(-tau[indices] / time), np.ones(tau[indices].shape)], axis=0)
ЖУРНАЛ стена=1441 с; t=116.859 с (0.03246 ч); шаг=43507; доля=4.4358 %; x_C=1e-08
ЖУРНАЛ стена=1471 с; t=117.114 с (0.03253 ч); шаг=43865; доля=4.4351 %; x_C=1e-08
ЖУРНАЛ стена=1501 с; t=117.374 с (0.0326 ч); шаг=44235; доля=4.4348 %; x_C=1e-08
ЖУРНАЛ стена=1531 с; t=117.632 с (0.03268 ч); шаг=44602; доля=4.4345 %; x_C=1e-08
ЖУРНАЛ стена=1561 с; t=117.886 с (0.03275 ч); шаг=44964; доля=4.4342 %; x_C=1e-08
ЖУРНАЛ стена=1591 с; t=118.17 с (0.03283 ч); шаг=45332; доля=4.4360 %; x_C=1e-08
ЖУРНАЛ стена=1621 с; t=118.448 с (0.0329 ч); шаг=45692; доля=4.4358 %; x_C=1e-08
ЖУРНАЛ стена=1651 с; t=118.725 с (0.03298 ч); шаг=46051; доля=4.4355 %; x_C=1e-08
ЖУРНАЛ стена=1681 с; t=119.098 с (0.03308 ч); шаг=46417; доля=4.5002 %; x_C=1e-08
ЖУРНАЛ стена=1711 с; t=120.134 с (0.03337 ч); шаг=46800; доля=4.4956 %; x_C=1e-08
ЖУРНАЛ стена=1741 с; t=121.171 с (0.03366 ч); шаг=47183; доля=4.4920 %; x_C=1e-08
ЖУРНАЛ стена=1771 с; t=122.221 с (0.03395 ч); шаг=47571; доля=4.4884 %; x_C=1e-08
ИТОГ {"tag": "a2_005h_mincomp1e-8_s2", "status": "limit", "error": "предел 1800 с", "wall_s": 1800.0, "peak_rss_gib": 0.344, "rows": 47947, "final_time_s": 123.23589715111667, "stop": null, "final_fraction_pct": 4.485668447910449, "final_radius_nm": 5.632124484010471, "quality_all_passed": null}
ZAMER: код=2; стена=1805.9 с; пик RSS=0.349 ГиБ (365760 КиБ)
