# 2026-09-25T11:31:36 $ /tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/bin/python -B -X utf8 /home/user/ThermoGar/results/wave22_a/scripts/kwn_run.py --tag a2_005h_mincomp1e-8_s0 --cell app --bins 80 --duration-h 0.05 --constraint minComposition=1e-8 --progress 30
/tmp/claude-0/-home-user-ThermoGar/91a7a4bf-1d62-5d41-9dde-fdc45d17fc16/scratchpad/venv22a/lib/python3.11/site-packages/kawin/precipitation/NucleationRate.py:190: RuntimeWarning: divide by zero encountered in divide
  incubationTime = np.amin([np.exp(-tau[indices] / time), np.ones(tau[indices].shape)], axis=0)
ЖУРНАЛ стена=30 с; t=25.618 с (0.007116 ч); шаг=857; доля=0.0491 %; x_C=0.00906
ЖУРНАЛ стена=60 с; t=29.4556 с (0.008182 ч); шаг=2002; доля=0.0583 %; x_C=0.009042
ЖУРНАЛ стена=90 с; t=33.2174 с (0.009227 ч); шаг=3129; доля=0.0673 %; x_C=0.009024
ЖУРНАЛ стена=120 с; t=36.981 с (0.01027 ч); шаг=4261; доля=0.0761 %; x_C=0.009007
ЖУРНАЛ стена=150 с; t=40.7497 с (0.01132 ч); шаг=5399; доля=0.0848 %; x_C=0.00899
ЖУРНАЛ стена=180 с; t=44.4643 с (0.01235 ч); шаг=6525; доля=0.0933 %; x_C=0.008973
ЖУРНАЛ стена=210 с; t=48.1421 с (0.01337 ч); шаг=7644; доля=0.1016 %; x_C=0.008956
ЖУРНАЛ стена=240 с; t=51.8293 с (0.0144 ч); шаг=8770; доля=0.1098 %; x_C=0.00894
ЖУРНАЛ стена=270 с; t=55.5552 с (0.01543 ч); шаг=9912; доля=0.1180 %; x_C=0.008924
ЖУРНАЛ стена=300 с; t=59.2223 с (0.01645 ч); шаг=11040; доля=0.1259 %; x_C=0.008908
ЖУРНАЛ стена=330 с; t=62.8118 с (0.01745 ч); шаг=12148; доля=0.1336 %; x_C=0.008893
ЖУРНАЛ стена=360 с; t=66.4277 с (0.01845 ч); шаг=13268; доля=0.1413 %; x_C=0.008878
ЖУРНАЛ стена=390 с; t=70.0443 с (0.01946 ч); шаг=14392; доля=0.1489 %; x_C=0.008863
ЖУРНАЛ стена=420 с; t=73.6137 с (0.02045 ч); шаг=15505; доля=0.1562 %; x_C=0.008848
ЖУРНАЛ стена=450 с; t=77.2799 с (0.02147 ч); шаг=16652; доля=0.1637 %; x_C=0.008833
ЖУРНАЛ стена=480 с; t=80.864 с (0.02246 ч); шаг=17777; доля=0.1710 %; x_C=0.008819
ЖУРНАЛ стена=510 с; t=84.4493 с (0.02346 ч); шаг=18906; доля=0.1782 %; x_C=0.008805
ЖУРНАЛ стена=540 с; t=87.9886 с (0.02444 ч); шаг=20024; доля=0.1851 %; x_C=0.008791
ЖУРНАЛ стена=570 с; t=91.4318 с (0.0254 ч); шаг=21115; доля=0.1919 %; x_C=0.008777
ЖУРНАЛ стена=600 с; t=94.8806 с (0.02636 ч); шаг=22211; доля=0.1986 %; x_C=0.008764
ЖУРНАЛ стена=630 с; t=98.3004 с (0.02731 ч); шаг=23301; доля=0.2051 %; x_C=0.008751
ЖУРНАЛ стена=660 с; t=101.807 с (0.02828 ч); шаг=24422; доля=0.2118 %; x_C=0.008738
ЖУРНАЛ стена=690 с; t=105.254 с (0.02924 ч); шаг=25527; доля=0.2182 %; x_C=0.008725
ЖУРНАЛ стена=720 с; t=106.432 с (0.02956 ч); шаг=26648; доля=4.3970 %; x_C=6.306e-05
ЖУРНАЛ стена=750 с; t=107.379 с (0.02983 ч); шаг=27803; доля=4.4024 %; x_C=5.134e-05
ЖУРНАЛ стена=780 с; t=108.226 с (0.03006 ч); шаг=28924; доля=4.4076 %; x_C=4.021e-05
ЖУРНАЛ стена=810 с; t=109.003 с (0.03028 ч); шаг=30087; доля=4.4056 %; x_C=4.45e-05
ЖУРНАЛ стена=840 с; t=109.57 с (0.03044 ч); шаг=31225; доля=4.4058 %; x_C=4.416e-05
ЖУРНАЛ стена=870 с; t=110.321 с (0.03064 ч); шаг=32368; доля=4.4081 %; x_C=3.899e-05
ЖУРНАЛ стена=900 с; t=110.873 с (0.0308 ч); шаг=33050; доля=4.4455 %; x_C=1e-08
ЖУРНАЛ стена=930 с; t=111.106 с (0.03086 ч); шаг=33417; доля=4.4446 %; x_C=1e-08
ЖУРНАЛ стена=961 с; t=111.341 с (0.03093 ч); шаг=33787; доля=4.4438 %; x_C=1e-08
ЖУРНАЛ стена=991 с; t=111.576 с (0.03099 ч); шаг=34158; доля=4.4431 %; x_C=1e-08
ЖУРНАЛ стена=1021 с; t=111.82 с (0.03106 ч); шаг=34528; доля=4.4438 %; x_C=1e-08
ЖУРНАЛ стена=1051 с; t=112.065 с (0.03113 ч); шаг=34896; доля=4.4431 %; x_C=1e-08
ЖУРНАЛ стена=1081 с; t=112.302 с (0.0312 ч); шаг=35259; доля=4.4408 %; x_C=1e-08
ЖУРНАЛ стена=1111 с; t=112.536 с (0.03126 ч); шаг=35628; доля=4.4402 %; x_C=1e-08
ЖУРНАЛ стена=1141 с; t=112.769 с (0.03132 ч); шаг=35995; доля=4.4396 %; x_C=1e-08
ЖУРНАЛ стена=1171 с; t=113.006 с (0.03139 ч); шаг=36365; доля=4.4391 %; x_C=1e-08
ЖУРНАЛ стена=1201 с; t=113.24 с (0.03146 ч); шаг=36732; доля=4.4403 %; x_C=1e-08
ЖУРНАЛ стена=1231 с; t=113.472 с (0.03152 ч); шаг=37096; доля=4.4382 %; x_C=1e-08
ЖУРНАЛ стена=1261 с; t=113.703 с (0.03158 ч); шаг=37461; доля=4.4377 %; x_C=1e-08
ЖУРНАЛ стена=1291 с; t=113.94 с (0.03165 ч); шаг=37831; доля=4.4373 %; x_C=1e-08
ЖУРНАЛ стена=1321 с; t=114.17 с (0.03171 ч); шаг=38195; доля=4.4369 %; x_C=1e-08
ЖУРНАЛ стена=1351 с; t=114.402 с (0.03178 ч); шаг=38561; доля=4.4365 %; x_C=1e-08
ЖУРНАЛ стена=1381 с; t=114.634 с (0.03184 ч); шаг=38926; доля=4.4362 %; x_C=1e-08
ЖУРНАЛ стена=1411 с; t=114.862 с (0.03191 ч); шаг=39286; доля=4.4358 %; x_C=1e-08
ЖУРНАЛ стена=1441 с; t=115.093 с (0.03197 ч); шаг=39650; доля=4.4355 %; x_C=1e-08
ЖУРНАЛ стена=1471 с; t=115.32 с (0.03203 ч); шаг=40009; доля=4.4352 %; x_C=1e-08
ЖУРНАЛ стена=1501 с; t=115.555 с (0.0321 ч); шаг=40379; доля=4.4349 %; x_C=1e-08
ЖУРНАЛ стена=1531 с; t=115.786 с (0.03216 ч); шаг=40744; доля=4.4346 %; x_C=1e-08
ЖУРНАЛ стена=1561 с; t=116.019 с (0.03223 ч); шаг=41112; доля=4.4343 %; x_C=1e-08
ЖУРНАЛ стена=1591 с; t=116.249 с (0.03229 ч); шаг=41474; доля=4.4340 %; x_C=1e-08
ЖУРНАЛ стена=1621 с; t=116.477 с (0.03235 ч); шаг=41834; доля=4.4337 %; x_C=1e-08
ЖУРНАЛ стена=1651 с; t=116.705 с (0.03242 ч); шаг=42194; доля=4.4335 %; x_C=1e-08
ЖУРНАЛ стена=1681 с; t=116.935 с (0.03248 ч); шаг=42556; доля=4.4332 %; x_C=1e-08
ЖУРНАЛ стена=1712 с; t=117.164 с (0.03255 ч); шаг=42918; доля=4.4330 %; x_C=1e-08
ЖУРНАЛ стена=1742 с; t=117.392 с (0.03261 ч); шаг=43278; доля=4.4327 %; x_C=1e-08
ЖУРНАЛ стена=1772 с; t=117.623 с (0.03267 ч); шаг=43642; доля=4.4325 %; x_C=1e-08
ИТОГ {"tag": "a2_005h_mincomp1e-8_s0", "status": "limit", "error": "предел 1800 с", "wall_s": 1800.0, "peak_rss_gib": 0.342, "rows": 43999, "final_time_s": 117.84877368199153, "stop": null, "final_fraction_pct": 4.432299682849384, "final_radius_nm": 4.886313987950459, "quality_all_passed": null}
ZAMER: код=2; стена=1806.2 с; пик RSS=0.345 ГиБ (361644 КиБ)
